#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	2|201174|1760|85006|1268|32207	0	0	0	5.786478130212513	5.56392750281762	0	32.28111126336163	0	0	7.434449051167067	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	2|201174|1760|85006|1268|32207|2047	0	0	0	0.833772020039	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	2|201174|1760|85006|1268|32207|43675	0	0	0	4.952706110173512	5.56392750281762	0	32.28111126336163	0	0	7.434449051167067	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcales_unclassified	2|201174|1760|85006|	0	0	0	4.337590814563423	0	0	0	15.718487141863084	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcales_unclassified|g__Tropheryma	2|201174|1760|85006||2038	0	0	0	4.337590814563423	0	0	0	15.718487141863084	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcales_unclassified|g__Tropheryma|s__Tropheryma_whipplei	2|201174|1760|85006||2038|2039	0	0	0	4.337590814563423	0	0	0	15.718487141863084	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	2|201174|1760|85009|31957|1912216	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	2|201174|1760|85009|31957|1912216|1747	0	0	68.58883279579078	0.1807339650803312	0	0	0	29.091709548294443	0	0	0	43.55034705835645	19.728110746265195	33.58307777728365
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
